iso,glottocode,language_name,glotto_level,macroarea,latitude,longitude,dist2ocean,dist2lakes,dist2rivers,dist2water,climate_PC1,climate_PC2,log_popSize,altitude,longitude_original,family_code,family
and,ansu1237,Ansus,language,Papunesia,-1.7543,135.866,7296,43745,117857,7296,4.074,-1.918,8.434,8,135.866,aust1307,Austronesian
xmv,anta1255,Antankarana Malagasy,language,Africa,-13.2164,49.2402,31396,6212,14628,6212,1.471,1.398,12.707,96,49.2402,aust1307,Austronesian
aui,anuk1239,Anuki,language,Papunesia,-9.6692,149.822,24840,91628,67141,24840,2.198,0.126,6.791,157,149.822,aust1307,Austronesian
auq,anus1237,Anus,language,Papunesia,-2.26271,139.502,18799,3662,50243,3662,4.003,-1.558,5.768,126,139.502,aust1307,Austronesian
pni,aohe1237,Aoheng-Seputan,language,Papunesia,0.87404,114.127,250612,127818,104254,104254,3.821,-3.504,7.875,550,114.127,aust1307,Austronesian
aor,aore1237,Aore,language,Papunesia,-15.5753,167.166,16903,2804,2804,2804,2.723,-1.443,0,94,167.166,aust1307,Austronesian
apo,apal1255,Apalik,language,Papunesia,-6.29002,149.96,4437,17595,9199,4437,5.267,-2.21,7.09,0,149.96,aust1307,Austronesian
app,apma1240,Apma,language,Papunesia,-15.8559,168.189,13944,50787,115255,13944,2.344,-1.893,8.962,33,168.189,aust1307,Austronesian
apx,aput1237,Aputai,language,Papunesia,-7.84732,126.496,18444,13761,60408,13761,0.405,1.164,5.011,408,126.496,aust1307,Austronesian
akr,arak1252,Araki,language,Papunesia,-15.632997,166.952542,19120,15837,9788,9788,2.73,-1.253,2.079,0,166.952542,aust1307,Austronesian
atq,aral1243,Aralle-Tabulahan,language,Papunesia,-2.78397,119.319,32824,120232,72339,32824,0.768,-2.682,9.393,1885,119.319,aust1307,Austronesian
alu,area1240,'Are'are,language,Papunesia,-9.20699,161.158,15922,11691,75215,11691,4.167,-2.564,9.793,130,161.158,aust1307,Austronesian
mwc,aree1239,Are,language,Papunesia,-9.67147,149.999,15640,72881,83758,15640,2.254,0.161,7.115,29,149.999,aust1307,Austronesian
agf,argu1237,Arguni,language,Papunesia,-2.645798,132.5556,22289,151142,59924,22289,3.399,-0.692,5.011,0,132.5556,aust1307,Austronesian
aqr,arha1237,Arhâ,language,Papunesia,-21.2866,165.273,21215,36680,15634,15634,0.57,-0.729,5.136,312,165.273,aust1307,Austronesian
aok,arho1237,Arhö,language,Papunesia,-21.3183,165.161,12514,36582,4338,4338,0.032,-0.822,2.303,425,165.161,aust1307,Austronesian
ylu,arib1240,Aribwaung,language,Papunesia,-6.65252,146.919,39277,10232,3545,3545,3.819,-2.293,6.215,209,146.919,aust1307,Austronesian
laz,arib1241,Aribwatsa,language,Papunesia,-6.72266,146.991,35049,6662,7159,6662,4.758,-2.688,0,0,146.991,aust1307,Austronesian
aai,arif1239,Arifama-Miniafia,language,Papunesia,-9.15565,149.246,7548,24385,95119,7548,2.878,-1.725,8.152,138,149.246,aust1307,Austronesian
aps,arop1242,Arop-Sissano,language,Papunesia,-3.06984,142.12,16296,1169,14719,1169,3.458,-1.292,7.048,12,142.12,aust1307,Austronesian
apr,arop1243,Arop-Lokep,language,Papunesia,-5.31671,147.103,12592,4529,125805,4529,3.003,-1.101,8.013,291,147.103,aust1307,Austronesian
aia,aros1241,Arosi,language,Papunesia,-10.2441,161.432,20387,58641,46334,20387,4.271,-2.404,8.817,45,161.432,aust1307,Austronesian
atz,arta1239,Arta,language,Papunesia,16.4185,121.656,28255,47132,14243,14243,1.961,0.044,2.708,178,121.656,aust1307,Austronesian
asl,asil1242,Asilulu,language,Papunesia,-3.67302,127.952,22342,10462,48267,10462,3.161,-1.334,9.078,262,127.952,aust1307,Austronesian
asz,asss1237,As,language,Papunesia,-0.75267,131.728,10757,79386,71422,10757,4.456,-2.098,5.438,29,131.728,aust1307,Austronesian
aua,asum1237,Asumboa,language,Papunesia,-11.2969,166.499,9740,69401,433834,9740,6.67,-4.602,2.303,0,166.499,aust1307,Austronesian
atm,ataa1240,Ata,language,Papunesia,9.715,122.9,20371,28180,15865,15865,2.336,0.466,0.693,267,122.9,aust1307,Austronesian
atd,atam1240,Ata Manobo,language,Papunesia,7.7789,125.499,80460,25031,18416,18416,2.381,-2.127,10.192,579,125.499,aust1307,Austronesian
tay,atay1247,Atayal,language,Papunesia,24.5209,121.388,49176,30152,6705,6705,-0.867,-4.109,11.342,1994,121.388,aust1307,Austronesian
atk,atii1237,Ati,language,Papunesia,11.1539,122.512,17306,17541,18846,17306,2.497,0.212,7.313,87,122.512,aust1307,Austronesian
kud,auhe1237,'Auhelawa,language,Papunesia,-10.0959,151.002,9655,78578,184649,9655,4.297,-3.163,7.09,0,151.002,aust1307,Austronesian
aul,aulu1238,Aulua,language,Papunesia,-16.3579,167.697,18912,26436,106190,18912,1.807,-0.918,6.62,426,167.697,aust1307,Austronesian
aut,aust1304,Austral,language,Papunesia,-23.3843,210.538,19628,624307,653201,19628,1.255,-1.691,8.006,0,-149.462,aust1307,Austronesian
avb,avau1237,Avau,language,Papunesia,-6.24342,150.427,9939,35271,3834,3834,6.627,-3.184,6.43,0,150.427,aust1307,Austronesian
bcu,awad1244,Awad Bing,language,Papunesia,-5.59896,146.355,13894,48673,52168,13894,2.435,-0.335,7.279,0,146.355,aust1307,Austronesian
ahb,axam1237,Axamb,language,Papunesia,-16.4838,167.707,11579,21079,118668,11579,1.801,-0.868,6.62,80,167.707,aust1307,Austronesian
nfl,ayiw1239,Ayiwo,language,Papunesia,-10.282595,166.328715,19848,62585,467970,19848,6.255,-4.024,9.036,0,166.328715,aust1307,Austronesian
mbf,baba1267,Baba Malay,language,Eurasia,1.75414,103.076,27684,23029,9210,9210,3.057,-0.748,9.21,11,103.076,aust1307,Austronesian
baa,baba1268,Babatana,language,Papunesia,-7.22281,157.149,18418,89503,399165,18418,4.74,-3.121,8.864,439,157.149,aust1307,Austronesian
bzg,babu1240,Babuza,language,Papunesia,24.0017,120.585,15769,1159,7836,1159,-0.016,0.179,0,45,120.585,aust1307,Austronesian
btj,baca1243,Bacanese Malay,language,Papunesia,-0.62275,127.49,4667,95552,292955,4667,2.446,-0.469,1.792,59,127.49,aust1307,Austronesian
bhz,bada1261,Bada (Indonesia),language,Papunesia,-1.80249,120.319,49997,28648,91411,28648,0.751,-1.936,8.825,1249,120.319,aust1307,Austronesian
bac,badu1237,Badui,language,Papunesia,-6.35359,106.177,20494,31437,8481,8481,3.264,-0.494,9.903,70,106.177,aust1307,Austronesian
bvd,baeg1237,Baeggu,language,Papunesia,-8.49014,160.771,18166,101364,108627,18166,4.306,-2.869,8.683,226,160.771,aust1307,Austronesian
bvc,bael1237,Baelelea,language,Papunesia,-8.41627,160.721,17776,111141,114364,17776,4.45,-2.395,9.083,340,160.721,aust1307,Austronesian
btr,baet1237,Baetora,language,Papunesia,-15.2574,168.159,23963,34208,109526,23963,2.799,-2.381,7.193,326,168.159,aust1307,Austronesian
bhv,baha1257,Bahau,language,Papunesia,0.30801,115.332,228616,83239,42035,42035,4.85,-2.774,9.852,100,115.332,aust1307,Austronesian
bsu,baho1237,Bahonsuai,language,Papunesia,-2.22572,121.707,22797,18897,18897,18897,2.696,-0.076,5.298,33,121.707,aust1307,Austronesian
bkx,baik1238,Baikeno,language,Papunesia,-9.32991,124.256,25010,12026,2501,2501,0.796,1.025,11.184,492,124.256,aust1307,Austronesian
bki,baki1244,Baki,language,Papunesia,-16.7096,168.165,21702,25427,167290,21702,2.146,-1.11,5.858,139,168.165,aust1307,Austronesian
bkr,baku1263,Bakumpai,language,Papunesia,-1.98842,114.77,160225,16633,6917,6917,3.08,-0.537,11.513,19,114.77,aust1307,Austronesian
blw,bala1310,Balangao,language,Papunesia,17.0994,121.272,91181,27845,24505,24505,1.479,-0.777,9.966,895,121.272,aust1307,Austronesian
sse,bala1311,Balangingi,language,Papunesia,6.011614,121.686646,17064,28142,107638,17064,2.653,-0.117,11.29,0,121.686646,aust1307,Austronesian
bls,bala1314,Balaesang,language,Papunesia,-0.05644,119.689,11835,2693,101835,2693,2.063,-0.17,8.071,112,119.689,aust1307,Austronesian
blz,bala1315,Balantak,language,Papunesia,-0.86809,123.289,16647,22706,132065,16647,1.468,0.126,10.309,463,123.289,aust1307,Austronesian
ban,bali1278,Balinese,language,Papunesia,-8.35714,115.075,9989,9762,40223,9762,1.729,-1.399,15.018,822,115.075,aust1307,Austronesian
mhp,bali1279,Balinese Malay,language,Papunesia,-8.35714,115.075,9989,9762,40223,9762,1.729,-1.399,10.127,822,115.075,aust1307,Austronesian
blq,balu1257,Paluai,language,Papunesia,-2.5604,147.282,18890,54922,297294,18890,4.774,-2.43,6.908,0,147.282,aust1307,Austronesian
ptu,bamb1270,Bambam,language,Papunesia,-3.02759,119.201,22424,124240,43574,22424,1.704,-1.952,9.999,833,119.201,aust1307,Austronesian
bjx,bana1288,Banao Itneg,language,Papunesia,17.5643,121.05,66172,55894,31969,31969,1.72,-2.1,8.161,1380,121.05,aust1307,Austronesian
bpq,band1353,Banda Malay,language,Papunesia,-4.55565,129.905,4264,224290,179934,4264,3.11,-0.645,8.213,0,129.905,aust1307,Austronesian
bnd,band1355,Banda (Indonesia),language,Papunesia,-5.42138,133.142,18995,40581,158225,18995,2.599,-0.691,8.006,51,133.142,aust1307,Austronesian
mfb,bang1365,Bangka,language,Papunesia,-1.73288,105.897,11597,31328,10210,10210,4.166,-1.365,12.737,22,105.897,aust1307,Austronesian
bgz,bang1368,Banggai,language,Papunesia,-1.58305,123.171,17099,49715,93361,17099,2.186,-0.012,11.736,248,123.171,aust1307,Austronesian
bjn,banj1239,Banjar,language,Papunesia,0.747105,115.79,203252,95605,33348,33348,3.895,-2.346,15.068,646,115.79,aust1307,Austronesian
bcm,bann1247,Bannoni,language,Papunesia,-6.23061,155.128,18175,21058,404307,18175,4.717,-2.883,6.908,59,155.128,aust1307,Austronesian
bnq,bant1286,Bantik,language,Papunesia,1.44586,124.846,18037,23262,96688,18037,3.563,-1.049,8.006,228,124.846,aust1307,Austronesian
bno,bant1288,Bantoanon,language,Papunesia,12.5194,122.034,24371,81784,51610,24371,2.351,0.414,11.225,135,122.034,aust1307,Austronesian
baj,bara1367,Barakai,language,Papunesia,-6.7394,134.671,20453,27084,32878,20453,2.411,-0.068,8.401,7,134.671,aust1307,Austronesian
bhr,bara1369,Bara Malagasy,language,Africa,-23.9716,45.5937,142777,65130,38063,38063,-0.948,2.003,13.305,616,45.5937,aust1307,Austronesian
kys,bara1370,Baram Kayan,language,Papunesia,3.51211,114.482,82192,33497,30608,30608,5.446,-3.298,8.331,197,114.482,aust1307,Austronesian
brs,bara1371,Baras,language,Papunesia,-1.5667,119.342,17031,8878,89326,8878,3.304,-1.29,5.521,24,119.342,aust1307,Austronesian
bch,bari1286,Bariai,language,Papunesia,-5.5087,148.666,12076,73962,22521,12076,3.865,-2.38,7.23,72,148.666,aust1307,Austronesian
bjk,baro1253,Barok,language,Papunesia,-3.47672,152.193,9000,149971,177691,9000,4.467,-2.291,7.659,15,152.193,aust1307,Austronesian
bdb,basa1286,Basap,language,Papunesia,1.41405,117.942,5018,83283,29138,5018,2.038,-0.467,9.616,247,117.942,aust1307,Austronesian
byq,basa1287,Basay,language,Papunesia,25.0046,121.857,3792,13858,7049,3792,1.364,-2.901,0,303,121.857,aust1307,Austronesian
bts,bata1288,Batak Simalungun,language,Papunesia,3.04372,98.9083,48542,28782,53336,28782,2.347,-1.786,13.998,595,98.9083,aust1307,Austronesian
bbc,bata1289,Batak Toba,language,Papunesia,2.35498,99.1761,77792,5147,5147,5147,1.288,-1.667,14.509,993,99.1761,aust1307,Austronesian
akb,bata1290,Batak Angkola,language,Papunesia,1.66127,99.60248,75176,72866,90561,72866,2.105,-0.89,13.528,387,99.60248,aust1307,Austronesian
btm,bata1291,Batak Mandailing,language,Papunesia,0.85805,99.898,93799,17596,93003,17596,2.54,-2.281,13.911,820,99.898,aust1307,Austronesian
btz,bata1292,Batak Alas-Kluet,language,Papunesia,3.4293,97.8123,69370,73607,62355,62355,2.882,-1.418,12.181,248,97.8123,aust1307,Austronesian
btx,bata1293,Batak Karo,language,Papunesia,2.12787,98.2517,3052,61379,34970,3052,4.741,-2.305,13.305,30,98.2517,aust1307,Austronesian
btd,bata1294,Batak Dairi,language,Papunesia,2.51438,98.2427,39752,42174,37779,37779,3.09,-2.072,13.998,659,98.2427,aust1307,Austronesian
ayt,bata1297,Bataan Ayta,language,Papunesia,14.4153,120.49,9107,13969,29382,9107,2.944,1.214,6.908,4,120.49,aust1307,Austronesian
ifb,bata1298,Batad Ifugao,language,Papunesia,16.8266,121.23,85935,13968,5447,5447,1.11,0.059,10.669,663,121.23,aust1307,Austronesian
bya,bata1301,Batak,language,Papunesia,10.1115,119.025,15445,36666,50303,15445,1.545,0.006,5.298,541,119.025,aust1307,Austronesian
bvt,bati1253,Bati (Indonesia),language,Papunesia,-3.61403,130.815,24660,182346,184950,24660,2.766,-0.964,8.161,157,130.815,aust1307,Austronesian
bay,batu1258,Batuley,language,Papunesia,-5.814412,134.784314,16536,77172,51078,16536,2.739,-0.564,8.2,7,134.784314,aust1307,Austronesian
zbt,batu1260,Batui,language,Papunesia,-1.254442,122.487151,13752,17600,39357,13752,1.862,0.59,7.972,78,122.487151,aust1307,Austronesian
sne,baub1235,Bau-Jagoi Bidayuh,language,Papunesia,1.54467,109.985,16282,15202,7238,7238,5.405,-2.108,10.282,60,109.985,aust1307,Austronesian
bxa,baur1252,Bauro,language,Papunesia,-10.5826,161.863,13599,74101,16026,13599,4.397,-3.723,8.513,474,161.863,aust1307,Austronesian
bek,bebe1252,Bebeli,language,Papunesia,-5.63282,150.323,5826,24977,48129,5826,4.796,-2.357,6.957,81,150.323,aust1307,Austronesian
bed,bedo1237,Bedoanas,language,Papunesia,-2.74438,132.566,18725,156534,69896,18725,3.377,-1.279,5.193,128,132.566,aust1307,Austronesian
bei,beka1241,Riuk Bekati',language,Papunesia,1.3307,109.576,35531,39302,28177,28177,4.098,-1.511,8.294,28,109.576,aust1307,Austronesian
beg,bela1260,Lemeting,language,Papunesia,4.96207,114.933,14784,8771,3911,3911,4.289,-1.433,6.908,51,114.933,aust1307,Austronesian
bgy,beng1287,Benggoi,language,Papunesia,-3.13924,130.091,17302,129676,127274,17302,3.423,-1.314,5.858,173,130.091,aust1307,Austronesian
bnu,bent1237,Bentong,language,Papunesia,-4.76004,119.806,16292,27899,27899,16292,2.105,-1.005,10.127,692,119.806,aust1307,Austronesian
byd,beny1237,Benyadu',language,Papunesia,0.78534,109.753,73781,76389,56047,56047,3.826,-1.677,10.897,122,109.753,aust1307,Austronesian
bve,bera1262,Berau Malay,language,Papunesia,1.6687,117.934,15338,84827,10172,10172,2.44,-0.316,9.324,93,117.934,aust1307,Austronesian
bep,beso1237,Besoa,language,Papunesia,-1.60095,120.379,26762,34033,90755,26762,0.669,-1.954,9.21,1298,120.379,aust1307,Austronesian
bew,beta1252,Betawi,language,Papunesia,-6.21174,107.022,9729,2909,2909,2909,2.474,0.723,15.425,12,107.022,aust1307,Austronesian
bhw,biak1248,Biak,language,Papunesia,-0.9523,135.879,8105,1371,175457,1371,3.507,-1.639,10.309,183,135.879,aust1307,Austronesian
bth,biat1246,Biatah Bidayuh,language,Papunesia,1.17596,110.254,30609,35337,26651,26651,4.723,-2.234,11.065,113,110.254,aust1307,Austronesian
bmc,biem1237,Biem,language,Papunesia,-3.61342,144.816,18487,45911,38523,18487,2.651,-0.335,7.696,0,144.816,aust1307,Austronesian
bnk,bier1244,Bierebo,language,Papunesia,-16.6663,168.154,24319,28345,162883,24319,2.158,-1.012,6.685,77,168.154,aust1307,Austronesian
brj,bier1246,Bieria,language,Papunesia,-16.7867,168.232,10608,17031,178418,10608,2.228,-1.342,4.248,219,168.232,aust1307,Austronesian
bhc,biga1238,Biga,language,Papunesia,-1.99574,130.272,8280,16459,6856,6856,3.212,-1.107,5.704,26,130.272,aust1307,Austronesian
nmb,bign1238,Big Nambas,language,Papunesia,-16.0903,167.239,6553,34166,60322,6553,2.13,-1.211,8.117,225,167.239,aust1307,Austronesian
brz,bilb1241,Bilibil,language,Papunesia,-5.26505,145.764,3388,23985,4142,3388,3.861,-1.322,7.131,0,145.764,aust1307,Austronesian
bpz,bilb1242,Bilba,language,Papunesia,-10.6503,123.307,16109,21383,111036,16109,1.194,2.04,8.854,35,123.307,aust1307,Austronesian
bxf,bilu1244,Bilur,language,Papunesia,-4.39732,152.334,20805,85731,97837,20805,3.034,-0.807,8.338,40,152.334,aust1307,Austronesian
bhp,bima1247,Bima,language,Papunesia,-8.57376,118.445,23202,8351,4190,4190,0.757,1.082,13.122,43,118.445,aust1307,Austronesian
bmn,bina1271,Bina (Papua New Guinea),language,Papunesia,-10.2667,149.661,11353,125692,37661,11353,2.161,-0.505,0,98,149.661,aust1307,Austronesian
itb,bino1237,Binongan Itneg,language,Papunesia,17.5972,120.876,47395,44065,13430,13430,2.088,-0.28,8.923,569,120.876,aust1307,Austronesian
bne,bint1245,Bintauna,language,Papunesia,0.75069,123.486,12695,55541,68901,12695,1.893,-0.498,9.324,477,123.486,aust1307,Austronesian
bny,bint1246,Bintulu,language,Papunesia,3.867,113.634,13326,68459,21850,13326,4.561,-2.043,8.343,15,113.634,aust1307,Austronesian
bkd,binu1244,Talaandig-Binukid,language,Papunesia,8.15933,124.892,44971,40613,33548,33548,1.432,-4.248,11.513,1449,124.892,aust1307,Austronesian
biq,bipi1237,Bipi,language,Papunesia,-2.11115,146.398,10250,119420,280438,10250,5.36,-3.149,7.09,0,146.398,aust1307,Austronesian
brr,bira1254,Birao,language,Papunesia,-9.73716,160.52,9454,9454,24652,9454,3.241,-2.155,8.683,728,160.52,aust1307,Austronesian
blp,blab1237,Blablanga,language,Papunesia,-8.15058,159.419,14302,106036,153955,14302,3.906,-2.35,7.479,629,159.419,aust1307,Austronesian
bzn,boan1242,Boano (Maluku),language,Papunesia,-2.95535,127.953,23601,24509,33277,23601,2.498,-0.437,8.083,98,127.953,aust1307,Austronesian
bzl,boan1243,Boano (Sulawesi),language,Papunesia,0.51152,120.992,20557,10240,54025,10240,2.682,-0.403,7.901,34,120.992,aust1307,Austronesian
bty,bobo1254,Bobot,language,Papunesia,-3.43514,130.179,12961,159412,149604,12961,3.225,-1.531,8.412,238,130.179,aust1307,Austronesian
bgb,bobo1255,Bobongko,language,Papunesia,-0.36759,121.922,11202,91057,81450,11202,2.806,-0.218,7.313,38,121.922,aust1307,Austronesian
bnp,bola1250,Bola,language,Papunesia,-5.55792,150.095,11068,37596,22095,11068,4.518,-2.212,9.525,51,150.095,aust1307,Austronesian
bld,bola1252,Bolango,language,Papunesia,0.39044,123.888,7143,71100,55519,7143,1.897,-0.313,10.043,459,123.888,aust1307,Austronesian
smk,boli1256,Bolinao,language,Papunesia,16.3071,119.853,15555,17918,5871,5871,3.312,0.748,10.843,79,119.853,aust1307,Austronesian
blj,bolo1268,Bolongan,language,Papunesia,2.75927,117.293,37572,157016,4336,4336,3.867,-1.855,10.309,110,117.293,aust1307,Austronesian
bna,bone1254,Bonerate,language,Papunesia,-7.37657,121.792,6121,87454,126556,6121,1.157,1.054,9.159,107,121.792,aust1307,Austronesian
bpg,bong1287,Bonggo,language,Papunesia,-2.28044,139.576,21678,9555,41982,9555,4.003,-1.558,6.672,21,139.576,aust1307,Austronesian
bdg,bong1289,Bonggi,language,Papunesia,7.29249,117.174,18644,109381,70091,18644,3.048,-0.171,0,41,117.174,aust1307,Austronesian
bnb,book1241,Bookan,language,Papunesia,5.32519,116.474,48645,67284,57539,48645,2.693,-1.448,0,485,116.474,aust1307,Austronesian
bwf,bose1237,Boselewa,language,Papunesia,-9.44763,150.693,1898,7534,163376,1898,3.409,-2.061,6.413,86,150.693,aust1307,Austronesian
sbl,boto1242,Botolan Sambal,language,Papunesia,15.2315,120.164,10726,3677,3677,3677,3.353,0.074,10.401,420,120.164,aust1307,Austronesian
plw,broo1239,Brooke's Point Palawano,language,Papunesia,8.83891,117.871,10681,73130,139121,10681,1.678,0.873,9.575,24,117.871,aust1307,Austronesian
kxd,brun1242,Brunei,language,Papunesia,4.456045,114.429505,18150,12204,11363,11363,4.318,-1.799,12.278,29,114.429505,aust1307,Austronesian
bsb,brun1245,Brunei Bisaya,language,Papunesia,4.60791,114.517,7756,3354,10981,3354,4.227,-1.626,10.535,57,114.517,aust1307,Austronesian
btp,budi1249,Budibud,language,Papunesia,-9.29802,153.689,25865,174480,486097,25865,5.212,-3.122,5.737,0,153.689,aust1307,Austronesian
bdx,budo1241,Budong-Budong,language,Papunesia,-2.07756,119.327,5535,65391,116787,5535,3.473,-1.337,4.248,118,119.327,aust1307,Austronesian
buk,buga1250,Bugawac,language,Papunesia,-6.67519,147.32,38620,7033,7033,7033,4.506,-2.424,9.393,357,147.32,aust1307,Austronesian
bgt,bugh1239,Bughotu,language,Papunesia,-8.47948,159.802,10171,101662,104877,10171,3.815,-1.596,8.306,244,159.802,aust1307,Austronesian
bug,bugi1244,Buginese,language,Papunesia,-4.47,119.977,28495,28677,25738,25738,1.841,0.088,15.425,80,119.977,aust1307,Austronesian
ubl,buhi1243,Buhi,dialect,Papunesia,13.17,123.5,15719,16516,16516,15719,2.771,-0.43,11.206,237,123.5,aust1307,Austronesian
bku,buhi1245,Buhid,language,Papunesia,12.6396,121.21,31332,38096,37916,31332,2.49,-0.234,8.987,398,121.21,aust1307,Austronesian
bxh,buhu1237,Buhutu,language,Papunesia,-10.5074,150.18,18857,123605,97859,18857,2.584,-2.418,7.208,702,150.18,aust1307,Austronesian
sdo,buka1257,Bukar-Sadung Bidayuh,language,Papunesia,0.96817,110.657,33459,53734,30952,30952,4.256,-1.709,10.802,41,110.657,aust1307,Austronesian
bvk,buka1261,Bukat,language,Papunesia,1.29075,113.246,174932,64958,43402,43402,4.483,-3.085,5.991,499,113.246,aust1307,Austronesian
bvu,buki1247,Bukit Malay,language,Papunesia,-2.75049,115.64,63205,33936,56250,33936,2.145,-1.559,10.985,808,115.64,aust1307,Austronesian
bkn,buki1248,Bukitan,language,Papunesia,2.34947,114.895,185428,18976,101121,18976,3.893,-4.326,6.346,1100,114.895,aust1307,Austronesian
bzq,buli1255,Buli (Indonesia),language,Papunesia,1.0008,128.443,29602,70228,384741,29602,2.63,-0.899,7.832,337,128.443,aust1307,Austronesian
bjl,bulu1253,Bulu (Papua New Guinea),language,Papunesia,-5.06134,150.101,22409,3310,46038,3310,4.845,-1.808,6.813,109,150.101,aust1307,Austronesian
bdd,buna1276,Bunama,language,Papunesia,-10.0761,151.066,9880,80604,191688,9880,4.251,-3.225,8.294,322,151.066,aust1307,Austronesian
bkz,bung1269,Bungku,language,Papunesia,-3.22197,122.212,10965,36920,99874,10965,2.547,-0.319,10.204,220,122.212,aust1307,Austronesian
bnn,bunu1267,Bunun,language,Papunesia,23.4116,121.025,49701,39078,19797,19797,-0.531,-5.185,10.545,2473,121.025,aust1307,Austronesian
blf,buol1237,Buol,language,Papunesia,0.97727,121.519,13909,19555,9755,9755,2.648,-0.804,11.472,142,121.519,aust1307,Austronesian
vrt,burm1263,Burmbar,language,Papunesia,-16.41653,167.73124,16838,25870,113626,16838,1.807,-0.918,6.802,170,167.73124,aust1307,Austronesian
mhs,buru1303,Buru (Indonesia),language,Papunesia,-3.43957,126.632,24353,2282,47645,2282,1.732,-1.223,10.404,741,126.632,aust1307,Austronesian
bqr,buru1304,Burusu,language,Papunesia,3.36912,117.012,33009,203669,17734,17734,4.401,-2.208,8.378,34,117.012,aust1307,Austronesian
bsm,busa1254,Busami,language,Papunesia,-1.73681,136.032,12656,29597,118116,12656,3.628,-2.727,6.551,556,136.032,aust1307,Austronesian
bfg,busa1255,Busang Kayan,language,Papunesia,0.03494,115.401,201496,57335,18363,18363,3.602,-2.514,8.006,304,115.401,aust1307,Austronesian
buc,bush1250,Kibosy Kiantalaotsy-Majunga,language,Africa,-12.9652,45.1368,3959,25262,324693,3959,0.961,0.992,10.571,6,45.1368,aust1307,Austronesian
bup,buso1238,Busoa,language,Papunesia,-5.60524,122.622,8829,30525,122641,8829,1.792,0.571,7.741,73,122.622,aust1307,Austronesian
kyb,butb1235,Butbut Kalinga,language,Papunesia,17.2239,121.091,70471,19875,36309,19875,1.46,-1.933,9.616,880,121.091,aust1307,Austronesian
bnr,butm1237,Farafi,language,Papunesia,-15.3353,167.034,19144,24172,19601,19144,2.984,-2.414,6.254,329,167.034,aust1307,Austronesian
btw,butu1244,Butuanon,language,Papunesia,8.87009,125.418,7043,14342,14342,7043,3.223,-1.352,10.449,182,125.418,aust1307,Austronesian
bwd,bwai1242,Bwaidoka,language,Papunesia,-9.51158,150.297,8242,37320,120936,8242,2.834,-0.787,8.78,0,150.297,aust1307,Austronesian
tte,bwan1241,Bwanabwana,language,Papunesia,-10.6599,151.034,16003,137052,192663,16003,3.481,-1.806,7.783,27,151.034,aust1307,Austronesian
bwa,bwat1240,Bwatoo,language,Papunesia,-21.3777,165.076,8415,36160,7168,7168,0.396,-0.215,5.011,0,165.076,aust1307,Austronesian
msq,caac1237,Caac,language,Papunesia,-20.4114,164.578,15826,24160,15094,15094,0.418,-0.789,7.065,352,164.578,aust1307,Austronesian
roc,cacg1235,Cacgia Roglai,language,Eurasia,11.6489,109.138,3461,10203,11914,3461,0.332,1.723,8.006,190,109.138,aust1307,Austronesian
tbk,cala1258,Calamian Tagbanwa,language,Papunesia,12.0716,120.094,6861,18491,8577,6861,3.255,0.521,9.21,51,120.094,aust1307,Austronesian
clu,calu1238,Caluyanun,language,Papunesia,12.0489,121.384,12071,2057,42483,2057,3.702,0.183,10.309,0,121.384,aust1307,Austronesian
abd,cama1250,Camarines Norte Agta,language,Papunesia,14.1571,122.835,7583,21621,2656,2656,4.368,-1.359,8.243,86,122.835,aust1307,Austronesian
cml,camp1262,Campalagian,language,Papunesia,-4.016667,119.623611,21542,8202,7851,7851,2.188,0.419,10.309,15,119.623611,aust1307,Austronesian
cps,capi1239,Capiznon,language,Papunesia,11.4122,122.954,13235,2612,2612,2612,2.738,-0.142,13.368,167,122.954,aust1307,Austronesian
jvn,cari1276,Caribbean Javanese,language,South America,5.62695,305.3695,14168,34516,7573,7573,2.573,-0.038,11.002,17,-54.6305,aust1307,Austronesian
cal,caro1242,Carolinian,language,Papunesia,15.205,145.765,3097,10286,2039558,3097,2.572,-0.355,7.792,0,145.765,aust1307,Austronesian
dgc,casi1235,Casiguran-Nagtipunan Agta,language,Papunesia,16.2176,121.878,4502,46530,11661,4502,2.34,-2.001,6.413,870,121.878,aust1307,Austronesian
ceb,cebu1242,Cebuano,language,Papunesia,8.38799,124.367,13351,24120,13078,13078,2.298,-0.49,16.576,366,124.367,aust1307,Austronesian
cam,cemu1238,Cemuhî,language,Papunesia,-20.8489,165.13,13746,23634,12317,12317,1.123,-1.553,7.863,94,165.13,aust1307,Austronesian
pse,cent2053,Central Malay,language,Papunesia,-3.79673,103.137,81570,67187,65738,65738,2.421,-1.697,13.288,674,103.137,aust1307,Austronesian
mwo,cent2058,Central Maewo,language,Papunesia,-15.0784,168.135,18239,43823,112920,18239,3.123,-1.72,7.244,0,168.135,aust1307,Austronesian
mxz,cent2072,Central Masela,language,Papunesia,-8.15414,129.865,13663,289206,310932,13663,1.987,0.885,6.234,0,129.865,aust1307,Austronesian
agt,cent2084,Central Cagayan Agta,language,Papunesia,17.9571,121.857,4578,18901,14985,4578,1.55,1,6.659,112,121.857,aust1307,Austronesian
bcl,cent2087,Coastal-Naga Bikol,language,Papunesia,13.7574,123.403,16831,17833,22126,16831,3.255,-0.825,14.732,306,123.403,aust1307,Austronesian
